"name"	"description"	"page"
"ensembl_gene_id"	"Gene stable ID"	"feature_page"
"ensembl_gene_id_version"	"Gene stable ID version"	"feature_page"
"ensembl_transcript_id"	"Transcript stable ID"	"feature_page"
"ensembl_transcript_id_version"	"Transcript stable ID version"	"feature_page"
"ensembl_peptide_id"	"Protein stable ID"	"feature_page"
"ensembl_peptide_id_version"	"Protein stable ID version"	"feature_page"
"ensembl_exon_id"	"Exon stable ID"	"feature_page"
"description"	"Gene description"	"feature_page"
"chromosome_name"	"Chromosome/scaffold name"	"feature_page"
"start_position"	"Gene start (bp)"	"feature_page"
"end_position"	"Gene end (bp)"	"feature_page"
"strand"	"Strand"	"feature_page"
"band"	"Karyotype band"	"feature_page"
"transcript_start"	"Transcript start (bp)"	"feature_page"
"transcript_end"	"Transcript end (bp)"	"feature_page"
"transcription_start_site"	"Transcription start site (TSS)"	"feature_page"
"transcript_length"	"Transcript length (including UTRs and CDS)"	"feature_page"
"transcript_tsl"	"Transcript support level (TSL)"	"feature_page"
"transcript_gencode_basic"	"GENCODE basic annotation"	"feature_page"
"transcript_appris"	"APPRIS annotation"	"feature_page"
"transcript_is_canonical"	"Ensembl Canonical"	"feature_page"
"external_gene_name"	"Gene name"	"feature_page"
"external_gene_source"	"Source of gene name"	"feature_page"
"external_transcript_name"	"Transcript name"	"feature_page"
"external_transcript_source_name"	"Source of transcript name"	"feature_page"
"transcript_count"	"Transcript count"	"feature_page"
"percentage_gene_gc_content"	"Gene % GC content"	"feature_page"
"gene_biotype"	"Gene type"	"feature_page"
"transcript_biotype"	"Transcript type"	"feature_page"
"source"	"Source (gene)"	"feature_page"
"transcript_source"	"Source (transcript)"	"feature_page"
"version"	"Version (gene)"	"feature_page"
"transcript_version"	"Version (transcript)"	"feature_page"
"peptide_version"	"Version (protein)"	"feature_page"
"external_synonym"	"Gene Synonym"	"feature_page"
"phenotype_description"	"Phenotype description"	"feature_page"
"source_name"	"Source name"	"feature_page"
"study_external_id"	"Study external reference"	"feature_page"
"strain_name"	"Strain name"	"feature_page"
"strain_gender"	"Strain gender"	"feature_page"
"p_value"	"P value"	"feature_page"
"go_id"	"GO term accession"	"feature_page"
"name_1006"	"GO term name"	"feature_page"
"definition_1006"	"GO term definition"	"feature_page"
"go_linkage_type"	"GO term evidence code"	"feature_page"
"namespace_1003"	"GO domain"	"feature_page"
"goslim_goa_accession"	"GOSlim GOA Accession(s)"	"feature_page"
"goslim_goa_description"	"GOSlim GOA Description"	"feature_page"
"biogrid"	"BioGRID Interaction data, The General Repository for Interaction Datasets ID"	"feature_page"
"ccds"	"CCDS ID"	"feature_page"
"chembl"	"ChEMBL ID"	"feature_page"
"entrezgene_trans_name"	"EntrezGene transcript name ID"	"feature_page"
"embl"	"European Nucleotide Archive ID"	"feature_page"
"arrayexpress"	"Expression Atlas ID"	"feature_page"
"hgnc_id"	"HGNC ID"	"feature_page"
"hgnc_symbol"	"HGNC symbol"	"feature_page"
"protein_id"	"INSDC protein ID"	"feature_page"
"merops"	"MEROPS - the Peptidase Database ID"	"feature_page"
"mgi_description"	"MGI description"	"feature_page"
"mgi_symbol"	"MGI symbol"	"feature_page"
"mgi_id"	"MGI ID"	"feature_page"
"mgi_trans_name"	"MGI transcript name ID"	"feature_page"
"mirbase_accession"	"miRBase accession"	"feature_page"
"mirbase_id"	"miRBase ID"	"feature_page"
"entrezgene_description"	"NCBI gene (formerly Entrezgene) description"	"feature_page"
"entrezgene_accession"	"NCBI gene (formerly Entrezgene) accession"	"feature_page"
"entrezgene_id"	"NCBI gene (formerly Entrezgene) ID"	"feature_page"
"pdb"	"PDB ID"	"feature_page"
"reactome"	"Reactome ID"	"feature_page"
"reactome_gene"	"Reactome gene ID"	"feature_page"
"reactome_transcript"	"Reactome transcript ID"	"feature_page"
"refseq_mrna"	"RefSeq mRNA ID"	"feature_page"
"refseq_mrna_predicted"	"RefSeq mRNA predicted ID"	"feature_page"
"refseq_ncrna"	"RefSeq ncRNA ID"	"feature_page"
"refseq_ncrna_predicted"	"RefSeq ncRNA predicted ID"	"feature_page"
"refseq_peptide"	"RefSeq peptide ID"	"feature_page"
"refseq_peptide_predicted"	"RefSeq peptide predicted ID"	"feature_page"
"rfam"	"RFAM ID"	"feature_page"
"rnacentral"	"RNAcentral ID"	"feature_page"
"hgnc_trans_name"	"Transcript name ID"	"feature_page"
"ucsc"	"UCSC Stable ID"	"feature_page"
"uniparc"	"UniParc ID"	"feature_page"
"uniprot_gn_symbol"	"UniProtKB Gene Name symbol"	"feature_page"
"uniprot_gn_id"	"UniProtKB Gene Name ID"	"feature_page"
"uniprot_isoform"	"UniProtKB isoform ID"	"feature_page"
"uniprotswissprot"	"UniProtKB/Swiss-Prot ID"	"feature_page"
"uniprotsptrembl"	"UniProtKB/TrEMBL ID"	"feature_page"
"wikigene_description"	"WikiGene description"	"feature_page"
"wikigene_name"	"WikiGene name"	"feature_page"
"wikigene_id"	"WikiGene ID"	"feature_page"
"affy_mg_u74a"	"AFFY MG U74A probe"	"feature_page"
"affy_mg_u74av2"	"AFFY MG U74Av2 probe"	"feature_page"
"affy_mg_u74b"	"AFFY MG U74B probe"	"feature_page"
"affy_mg_u74bv2"	"AFFY MG U74Bv2 probe"	"feature_page"
"affy_mg_u74c"	"AFFY MG U74C probe"	"feature_page"
"affy_mg_u74cv2"	"AFFY MG U74Cv2 probe"	"feature_page"
"affy_moe430a"	"AFFY MOE430A probe"	"feature_page"
"affy_moe430b"	"AFFY MOE430B probe"	"feature_page"
"affy_moex_1_0_st_v1"	"AFFY MoEx 1 0 st v1 probe"	"feature_page"
"affy_mogene_1_0_st_v1"	"AFFY MoGene 1 0 st v1 probe"	"feature_page"
"affy_mogene_2_1_st_v1"	"AFFY MoGene 2 1 st v1 probe"	"feature_page"
"affy_mouse430a_2"	"AFFY Mouse430A 2 probe"	"feature_page"
"affy_mouse430_2"	"AFFY Mouse430 2 probe"	"feature_page"
"affy_mu11ksuba"	"AFFY Mu11KsubA probe"	"feature_page"
"affy_mu11ksubb"	"AFFY Mu11KsubB probe"	"feature_page"
"agilent_sureprint_g3_ge_8x60k"	"AGILENT SurePrint G3 GE 8x60k probe"	"feature_page"
"agilent_wholegenome"	"AGILENT WholeGenome probe"	"feature_page"
"agilent_wholegenome_4x44k_v1"	"AGILENT WholeGenome 4x44k v1 probe"	"feature_page"
"agilent_wholegenome_4x44k_v2"	"AGILENT WholeGenome 4x44k v2 probe"	"feature_page"
"codelink_codelink"	"CODELINK CODELINK probe"	"feature_page"
"illumina_mouseref_8"	"ILLUMINA MouseRef 8 probe"	"feature_page"
"illumina_mousewg_6_v1"	"ILLUMINA MouseWG 6 V1 probe"	"feature_page"
"illumina_mousewg_6_v2"	"ILLUMINA MouseWG 6 V2 probe"	"feature_page"
"phalanx_onearray"	"PHALANX OneArray probe"	"feature_page"
"cdd"	"CDD ID"	"feature_page"
"cdd_start"	"CDD start"	"feature_page"
"cdd_end"	"CDD end"	"feature_page"
"gene3d"	"Gene3D ID"	"feature_page"
"gene3d_start"	"Gene3D start"	"feature_page"
"gene3d_end"	"Gene3D end"	"feature_page"
"hamap"	"HAMAP ID"	"feature_page"
"hamap_start"	"HAMAP start"	"feature_page"
"hamap_end"	"HAMAP end"	"feature_page"
"hmmpanther"	"PANTHER ID"	"feature_page"
"hmmpanther_start"	"PANTHER start"	"feature_page"
"hmmpanther_end"	"PANTHER end"	"feature_page"
"pfam"	"Pfam ID"	"feature_page"
"pfam_start"	"Pfam start"	"feature_page"
"pfam_end"	"Pfam end"	"feature_page"
"pirsf"	"PIRSF ID"	"feature_page"
"pirsf_start"	"PIRSF start"	"feature_page"
"pirsf_end"	"PIRSF end"	"feature_page"
"prints"	"Prints ID"	"feature_page"
"prints_start"	"Prints start"	"feature_page"
"prints_end"	"Prints end"	"feature_page"
"scanprosite"	"PROSITE patterns ID"	"feature_page"
"scanprosite_start"	"PROSITE patterns start"	"feature_page"
"scanprosite_end"	"PROSITE patterns end"	"feature_page"
"pfscan"	"PROSITE profiles ID"	"feature_page"
"pfscan_start"	"PROSITE profiles start"	"feature_page"
"pfscan_end"	"PROSITE profiles end"	"feature_page"
"sfld"	"SFLD ID"	"feature_page"
"sfld_start"	"SFLD start"	"feature_page"
"sfld_end"	"SFLD end"	"feature_page"
"smart"	"SMART ID"	"feature_page"
"smart_start"	"SMART start"	"feature_page"
"smart_end"	"SMART end"	"feature_page"
"superfamily"	"Superfamily ID"	"feature_page"
"superfamily_start"	"Superfamily start"	"feature_page"
"superfamily_end"	"Superfamily end"	"feature_page"
"tigrfam"	"TIGRFAM ID"	"feature_page"
"tigrfam_start"	"TIGRFAM start"	"feature_page"
"tigrfam_end"	"TIGRFAM end"	"feature_page"
"interpro"	"Interpro ID"	"feature_page"
"interpro_short_description"	"Interpro Short Description"	"feature_page"
"interpro_description"	"Interpro Description"	"feature_page"
"interpro_start"	"Interpro start"	"feature_page"
"interpro_end"	"Interpro end"	"feature_page"
"alphafold_import"	"AFDB-ENSP mappings"	"feature_page"
"alphafold_import_start"	"AFDB-ENSP mappings start"	"feature_page"
"alphafold_import_end"	"AFDB-ENSP mappings end"	"feature_page"
"mobidblite"	"MobiDB lite"	"feature_page"
"mobidblite_start"	"MobiDB lite start"	"feature_page"
"mobidblite_end"	"MobiDB lite end"	"feature_page"
"ncoils"	"Coiled-coils (Ncoils)"	"feature_page"
"ncoils_start"	"Coiled-coils (Ncoils) start"	"feature_page"
"ncoils_end"	"Coiled-coils (Ncoils) end"	"feature_page"
"seg"	"Low complexity (Seg)"	"feature_page"
"seg_start"	"Low complexity (Seg) start"	"feature_page"
"seg_end"	"Low complexity (Seg) end"	"feature_page"
"sifts_import"	"PDB-ENSP mappings"	"feature_page"
"sifts_import_start"	"PDB-ENSP mappings start"	"feature_page"
"sifts_import_end"	"PDB-ENSP mappings end"	"feature_page"
"signalp"	"Cleavage site (Signalp)"	"feature_page"
"signalp_start"	"Cleavage site (Signalp) start"	"feature_page"
"signalp_end"	"Cleavage site (Signalp) end"	"feature_page"
"tmhmm"	"Transmembrane helices"	"feature_page"
"tmhmm_start"	"Transmembrane helices start"	"feature_page"
"tmhmm_end"	"Transmembrane helices end"	"feature_page"
"ensembl_gene_id"	"Gene stable ID"	"structure"
"ensembl_gene_id_version"	"Gene stable ID version"	"structure"
"version"	"Version (gene)"	"structure"
"ensembl_transcript_id"	"Transcript stable ID"	"structure"
"ensembl_transcript_id_version"	"Transcript stable ID version"	"structure"
"transcript_version"	"Version (transcript)"	"structure"
"ensembl_peptide_id"	"Protein stable ID"	"structure"
"ensembl_peptide_id_version"	"Protein stable ID version"	"structure"
"peptide_version"	"Version (protein)"	"structure"
"chromosome_name"	"Chromosome/scaffold name"	"structure"
"start_position"	"Gene start (bp)"	"structure"
"end_position"	"Gene end (bp)"	"structure"
"transcript_start"	"Transcript start (bp)"	"structure"
"transcript_end"	"Transcript end (bp)"	"structure"
"transcription_start_site"	"Transcription start site (TSS)"	"structure"
"transcript_length"	"Transcript length (including UTRs and CDS)"	"structure"
"strand"	"Strand"	"structure"
"external_gene_name"	"Gene name"	"structure"
"external_gene_source"	"Source of gene name"	"structure"
"5_utr_start"	"5' UTR start"	"structure"
"5_utr_end"	"5' UTR end"	"structure"
"3_utr_start"	"3' UTR start"	"structure"
"3_utr_end"	"3' UTR end"	"structure"
"cds_length"	"CDS Length"	"structure"
"transcript_count"	"Transcript count"	"structure"
"description"	"Gene description"	"structure"
"gene_biotype"	"Gene type"	"structure"
