fibroblast	mixed	early-primed	primed	naive	nis	nonReprog1	nonReprog2
VIM	PDZRN3	TRIML2	NLGN4X	CHODL	SLC7A2	IFI6	COL9A3
LMO7	MEIS2	PTPRG	PTPRG	NLRP7	NLRP2	B2M	EEF1A2
NEGR1	NFIA	AC092546.1	AC022140.1	SLC16A10	PKP2	STAT1	IGF2
DDAH1	PDE4D	DMD	LARGE1	UTF1	LRP2	EPSTI1	LY6D
ITGBL1	DOK6	ZYG11A	JARID2	MT1G	GATA3	IFI44L	CPLX1
CCDC80	ROBO1	TMEFF2	RIMS2	AC011447.3	KIAA1217	MX1	TRH
ANXA2	PRKG1	RIMS2	KCND2	ZYG11A	LCP1	BICC1	PTP4A3
CRIM1	UTRN	CHODL	NRXN1	CBFA2T2	MED12L	DDX58	HBA2
ID1	MAP2	AC019155.2	TCF7L1	MT1H	ELMO1	SP100	ARC
CCBE1	HS3ST5	LINC01950	DLGAP1	ZNF600	RBM47	FGF7	HBA1
SEPT11	CHN1	LINC01508	TMEM132B	AKAP12	KRT19	AC124319.1	SENDAI-KLF4
TPM1	NBEA	CBFA2T2	FOXO1	TRIML2	AC069277.1	XAF1	NSG1
FMN2	ASXL3	AC009446.1	ADCY2	WDHD1	MIR205HG	MX2	COL11A2
COL1A1	AUTS2	DPP6	CADM2	PRODH	LYN	GLIS3	FBXO2
TAGLN	MEOX2	TDGF1	GALNT17	RESF1	RHOU	HLA-A	PLCG2
FLNA	TMEM117	RNF125	TERF1	SERPINB9	GREB1L	MMP1	NPTX1
HSPB1	NLGN1	GRID2	ANK3	NLRP2	DOCK9	IFIT1	UTF1
ADAMTSL1	ANK2	MIR205HG	FIRRE	NLRP1	PRTG	FAM227B	CDH15
FRMD6	TOX	CHST9	AP002856.2	ASRGL1	REEP1	PARP14	KISS1R
CCN2	ARL15	LRRTM4	AC009446.1	AC092546.1	NEBL	IFIT3	MAB21L4
SERPINE1	LAMA2	GRIA1	SHISA9	LINC01950	STS	HLA-B	LYNX1
CCDC85A	ANGPT1	AC069277.1	AL590705.1	PTCHD1	PLXNA2	IFI27	GABRD
MXRA8	STK32B	FGF13	MGAT4C	SLC25A16	TENM3	PSD3	FTCD
DKK1	EFNA5	SYT1	AL365259.1	DNMT3L	LYPD6B	OAS3	S100P
IGFBP3	DPH6	JARID2	PTPRZ1	TPTEP1	LAMA1	IFI44	HES4
MYL9	PIR	KAZN	RYR2	ZNF729	KRT8	STC1	CAMSAP3
COL1A2	CDHR1	TERF1	LINC00678	CNR2	SLC7A8	SERPINE2	TMC6
MEIS2	ADGRV1	AC022140.1	DTNA	PBX4	PALLD	LINC-PINT	ESPN
ACTB	COL25A1		GPC6	BRDT	SLC1A3	PID1	ATP2A3
ACTG1	SLC22A3		ANOS1	ELF3	MPZL1	IGFBP4	NGEF
GAPDH	MGAT4C		PCDH11X	ALPG	HAPLN1	COL3A1	CKM
TMSB10	SCUBE2		GPC4		RBPMS	PAPPA	SLC8A2
CFL1	ANO4		LEFTY1		ARID3A	CDK17	SLC6A8
ID3	SNTG1		TUBB2B		GNA12	TFPI2	MROH6
PFN1	PCDH7		CNTNAP2		DNAJC15	HMCN1	PRTN3
SH3BGRL3	THSD7A		JAKMIP2		PTN	TWIST2	SCNN1D
PKM	SLC12A2		DANT1		MSI2	CXCL1	VWA1
PTMS	NNT		BDNF-AS		MBNL2	COL6A2	DMKN
